outcome_id,study_id,population_id,contrast_id,condition_id,timing_level,modifier,analyte,domain,metric,auc_definition,window_min,timepoint_min,result_form,n,value,dispersion_type,dispersion_value,ci_low,ci_high,p_value,units_original,direction,comparator,data_status,source_provenance,notes
O0183,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_mean,Stutz_2024_early_morning,earlier,early chronotype,glucose,cgm_postprandial,24-h mean,,1440,,condition_summary,22,5.87,SD,0.59,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0184,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_mean,Stutz_2024_early_evening,later,early chronotype,glucose,cgm_postprandial,24-h mean,,1440,,condition_summary,22,5.97,SD,0.58,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0185,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_mean,,,early chronotype,glucose,cgm_postprandial,24-h mean model contrast,,1440,,model_contrast,22,0.11,95% CI,,0,0.21,0.052,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0186,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_highest,Stutz_2024_early_morning,earlier,early chronotype,glucose,peak_glucose,24-h highest,,1440,,condition_summary,22,9.19,SD,1.2,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0187,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_highest,Stutz_2024_early_evening,later,early chronotype,glucose,peak_glucose,24-h highest,,1440,,condition_summary,22,9.68,SD,1.26,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0188,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_highest,,,early chronotype,glucose,peak_glucose,24-h highest model contrast,,1440,,model_contrast,22,0.48,95% CI,,-0.04,1,0.069,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0189,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_lowest,Stutz_2024_early_morning,earlier,early chronotype,glucose,cgm_postprandial,24-h lowest,,1440,,condition_summary,22,4.15,SD,0.67,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0190,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_lowest,Stutz_2024_early_evening,later,early chronotype,glucose,cgm_postprandial,24-h lowest,,1440,,condition_summary,22,4.44,SD,0.65,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0191,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_lowest,,,early chronotype,glucose,cgm_postprandial,24-h lowest model contrast,,1440,,model_contrast,22,0.29,95% CI,,-0.06,0.63,0.098,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0192,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_SD,Stutz_2024_early_morning,earlier,early chronotype,glucose,glycemic_variability,24-h SD,,1440,,condition_summary,22,0.79,SD,0.15,,,,percent ratio difference,,,reported_table,Stutz_2024; PDF p7; Table 2,
